주소번호,이름,주소,위도,경도
27,다대도서관 들락날락,부산시 사하구 다대낙조2길 9,35.050427010,128.964700408
28,더나눔어린이작은도서관 들락날락,"동구 영초윗길 48(초량동), 장기려기념관 1층",35.118525186,129.032654093
29,수남어린이작은도서관 들락날락,"부산광역시 동구 충장대로289번길 17, 2층",35.126976258,129.051826798
30,망미작은도서관 들락날락,부산광역시 수영구 연수로275번길 30(망미동),35.174503670,129.101077058
31,백양낙조전망대 들락날락,부산시 사상구 백양대로 499 (주례동),35.153879982,128.997468943
32,엄궁 통통 들락날락,부산시 사상구 엄궁남로 20 (엄궁동),35.125124757,128.970122018
33,부산시청 들락날락,부산시 연제구 중앙대로 1001(연산동) 부산시청 1층,35.180460087,129.075610891
34,부산해양자연사박물관 들락날락,부산시 동래구 우장춘로 175(온천1동),35.221848653,129.075579428
35,강서기적의도서관 들락날락,부산광역시 강서구 명지오션시티10로 80,35.086177215,128.904767676
36,보수동책방골목어린이도서관 들락날락,중구 대청로 57-16,35.103361791,129.026227081
37,서구 숲속놀이터 들락날락,서구 꽃마을로163번길 73(구덕문화공원 내),35.126405322,129.005272454
38,애니랑Busan 들락날락,"동구 자유평화로 30, 1층",35.141090726,129.063423094
39,영화의전당 들락날락,해운대구 수영강변대로 120 영화의전당 비프힐 1층,35.170980017,129.127154504
40,영도도서관 들락날락,"영도구 함지로79번길 6, 영도도서관 1층 및 지하1층",35.075572812,129.066494795
41,영도구 자원순환센터 들락날락,영도구 해양로 202(동삼동),35.088026200,129.071775599
42,영선나릿작은도서관 들락날락,"영도구 꿈나무길 25(영선동1가), 영선1동행정복지센터 지하1층",35.090242650,129.044715724
43,전포어울더울작은도서관 들락날락,"부산시 부산진구 서전로58번길 145(전포동), 전포어울더울복합문화센터 3층",35.151329826,129.066481182
44,꿈자람작은도서관 들락날락,부산진구 전포대로190번길 35 (전포종합사회복지관),35.153665295,129.067535368
45,대동골문화센터 작은도서관 들락날락,남구 황령대로319번가길 147,35.152422726,129.088990076
46,만덕도서관 들락날락,북구 은행나무로 26(만덕동),35.207241325,129.037798094
47,시랑골 아이누리 작은도서관 들락날락,부산광역시 북구 시랑로185번길 47,35.197022875,129.015464553
48,상학도서관 들락날락,북구 상학산복길215,35.217161303,129.040213567
49,솔밭작은도서관 들락날락,북구 금곡대로 324번길 29(화명동) 2층,35.237255470,129.015762007
50,우2동 어린이작은도서관 들락날락,"해운대구 해운대로 383번가길 7, 우2동 행정복지센터 2층",35.171238301,129.139940045
54,사상어린이도서관 들락날락,사상구 덕상로72번길 9,35.178113166,128.989813250
56,금정 아이꿈자람 작은도서관 들락날락,"금정구 금정로 29-6, 1층(장전동, 세대공감센터)",35.227474291,129.085511316
57,신호작은도서관 들락날락,강서구 르노삼성대로 14(신호문화공원 본관 1층),35.088613859,128.872471999
58,강서도서관 들락날락,강서구 공항로811번길 10(강서도서관 1층),35.180196450,128.957409772
60,연제구청 들락날락,"연제구 연제로 2, 연제구청 1층",35.176165590,129.079737441
61,해맞이 작은도서관 들락날락,"연제구 해맞이로43번길 36(거제동) 2,3층",35.179363353,129.066569015
62,연제구 아이사랑뜰 들락날락,연제구 안연로 8번길 71 연제구 아이사랑뜰,35.188587228,129.104914322
63,정관도서관 들락날락,정관중앙로 100 정관도서관 1층 어린이자료실,35.325184674,129.181485266
