정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
BSB164040101,화인아파트,35.17162543,129.05941496,2024-10-28,5033.0,21,부산광역시,부산BIS
BSB164040102,정묘사,35.17420818,129.06170973,2024-10-28,5031.0,21,부산광역시,부산BIS
BSB164040103,화인아파트,35.1719134,129.05972774,2024-10-28,,21,부산광역시,부산BIS
BSB164040201,부산시민공원,35.17108889,129.05637593,2024-10-28,5034.0,21,부산광역시,부산BIS
BSB164050201,양정청소년수련원,35.17679901,129.07184012,2024-10-28,5336.0,21,부산광역시,부산BIS
BSB164080101,대구철물,35.17227397,129.07622203,2024-10-28,,21,부산광역시,부산BIS
BSB164080201,부산진여자고등학교,35.1701999,129.07498195,2024-10-28,,21,부산광역시,부산BIS
BSB164080301,동의의료원사거리,35.17199038,129.07441915,2024-10-28,,21,부산광역시,부산BIS
BSB164080302,양정성당,35.17153053,129.07292522,2024-10-28,,21,부산광역시,부산BIS
BSB164090201,범내골역.상공회의소,35.14776933,129.0610247,2024-10-28,5223.0,21,부산광역시,부산BIS
BSB164090202,범내골역.상공회의소,35.14785833,129.06128757,2024-10-28,5224.0,21,부산광역시,부산BIS
BSB164090401,범내골역,35.14656417,129.05878923,2024-10-28,,21,부산광역시,부산BIS
BSB164090501,범내골역,35.14757121,129.05895752,2024-10-28,,21,부산광역시,부산BIS
BSB164100302,범내골역,35.14759415,129.05901261,2024-10-28,5228.0,21,부산광역시,부산BIS
BSB164160301,지오플레이스,35.14919404,129.06321398,2024-10-28,5238.0,21,부산광역시,부산BIS
BSB164170201,부전역,35.1613074,129.06275359,2024-10-28,,21,부산광역시,부산BIS
BSB164170301,전포초등학교,35.15931461,129.06217629,2024-10-28,5250.0,21,부산광역시,부산BIS
BSB164170501,부전역,35.16226676,129.06221536,2024-10-28,,21,부산광역시,부산BIS
BSB164170502,부전시장,35.1632453,129.0615757,2024-10-28,,21,부산광역시,부산BIS
BSB164180401,송상현광장,35.16440723,129.0632215,2024-10-28,5350.0,21,부산광역시,부산BIS
BSB164190101,양정대원칸타빌,35.17064857,129.06752733,2024-10-28,5023.0,21,부산광역시,부산BIS
BSB164190102,대원칸타빌아파트,35.17076465,129.06753334,2024-10-28,,21,부산광역시,부산BIS
BSB164200201,자유.평화시장,35.1406355,129.06025153,2024-10-28,3149.0,21,부산광역시,부산BIS
BSB164200202,범일역,35.14056596,129.06032176,2024-10-28,,21,부산광역시,부산BIS
BSB164240201,성북초등학교,35.14974719,129.06721166,2024-10-28,5265.0,21,부산광역시,부산BIS
BSB164240202,성북초등학교,35.14969052,129.06705782,2024-10-28,,21,부산광역시,부산BIS
BSB164240301,문전교차로,35.14834518,129.06595903,2024-10-28,7034.0,21,부산광역시,부산BIS
BSB164240302,국제금융센터.부산은행역,35.14527605,129.06646962,2024-10-28,7168.0,21,부산광역시,부산BIS
BSB164240401,지오플레이스,35.14926504,129.06450675,2024-10-28,,21,부산광역시,부산BIS
BSB164260501,경남공고,35.151939,129.06240458,2024-10-28,5349.0,21,부산광역시,부산BIS
BSB164270101,경남공고(전포역),35.15272739,129.0656476,2024-10-28,5356.0,21,부산광역시,부산BIS
BSB164280101,부산은행(전포역),35.15443771,129.06594106,2024-10-28,,21,부산광역시,부산BIS
BSB164280102,전포1동주민센터,35.15445392,129.06776711,2024-10-28,,21,부산광역시,부산BIS
BSB164280201,경남공고(전포역),35.15310859,129.0651011,2024-10-28,5259.0,21,부산광역시,부산BIS
BSB164280301,부전도서관,35.15457639,129.06286658,2024-10-28,,21,부산광역시,부산BIS
BSB164280401,전포사거리,35.15570191,129.0656076,2024-10-28,5357.0,21,부산광역시,부산BIS
BSB164290101,동성고교,35.15154167,129.06842833,2024-10-28,5270.0,21,부산광역시,부산BIS
BSB164290102,동성고등학교,35.15133427,129.06850247,2024-10-28,,21,부산광역시,부산BIS
BSB164290103,부산진여자중학교,35.15350804,129.06848938,2024-10-28,,21,부산광역시,부산BIS
BSB164290301,부산마케팅고등학교,35.1500849,129.06949846,2024-10-28,5266.0,21,부산광역시,부산BIS
BSB164290302,부산마케팅고등학교,35.15008435,129.06927472,2024-10-28,,21,부산광역시,부산BIS
BSB164290401,성북초등학교,35.15009508,129.06717702,2024-10-28,5264.0,21,부산광역시,부산BIS
BSB164290402,성북초등학교,35.15006378,129.06707792,2024-10-28,,21,부산광역시,부산BIS
BSB164290501,지오플레이스,35.15039138,129.06434778,2024-10-28,5225.0,21,부산광역시,부산BIS
BSB164300201,경남공고,35.1528676,129.06227008,2024-10-28,5279.0,21,부산광역시,부산BIS
BSB164300202,경남공업고등학교,35.15295788,129.06227331,2024-10-28,,21,부산광역시,부산BIS
BSB164300401,부전도서관,35.15499546,129.06243608,2024-10-28,5281.0,21,부산광역시,부산BIS
BSB164310101,동성고교,35.15175785,129.06828911,2024-10-28,5263.0,21,부산광역시,부산BIS
BSB164310102,동성고등학교,35.15162894,129.06829407,2024-10-28,,21,부산광역시,부산BIS
BSB164310103,부산진여자중학교,35.15324134,129.06827549,2024-10-28,,21,부산광역시,부산BIS
BSB164310201,부산은행(전포역),35.15458588,129.06594023,2024-10-28,,21,부산광역시,부산BIS
BSB164310202,전포1동주민센터,35.15459706,129.06757893,2024-10-28,,21,부산광역시,부산BIS
BSB164310301,전포고개,35.15584833,129.06836333,2024-10-28,5261.0,21,부산광역시,부산BIS
BSB164320101,(구)대우자동차,35.15767301,129.06673749,2024-10-28,5258.0,21,부산광역시,부산BIS
BSB164320201,전포사거리,35.15660238,129.06507027,2024-10-28,5257.0,21,부산광역시,부산BIS
BSB164320301,(구)NC서면점,35.15788602,129.0630348,2024-10-28,5358.0,21,부산광역시,부산BIS
BSB164320302,NC서면점,35.15789149,129.06292495,2024-10-28,,21,부산광역시,부산BIS
BSB164320303,전포사거리,35.15818131,129.06531878,2024-10-28,,21,부산광역시,부산BIS
BSB164330101,부산진여자중학교,35.15531042,129.06821602,2024-10-28,5260.0,21,부산광역시,부산BIS
BSB164330301,(구)대우자동차,35.15824,129.06819,2024-10-28,5254.0,21,부산광역시,부산BIS
BSB164340101,NC서면점,35.15767124,129.06308055,2024-10-28,5253.0,21,부산광역시,부산BIS
BSB164340102,NC서면점,35.15766551,129.06293571,2024-10-28,,21,부산광역시,부산BIS
BSB164340201,부전도서관,35.15579376,129.06223935,2024-10-28,5278.0,21,부산광역시,부산BIS
BSB164340401,전포초등학교,35.15999348,129.06242757,2024-10-28,5251.0,21,부산광역시,부산BIS
BSB164340402,전포초등학교,35.15973673,129.06242707,2024-10-28,5252.0,21,부산광역시,부산BIS
BSB164340403,전포초등학교,35.15889322,129.06242952,2024-10-28,,21,부산광역시,부산BIS
BSB164350201,전포어린이놀이터,35.15974112,129.06694114,2024-10-28,5338.0,21,부산광역시,부산BIS
BSB164350202,어린이놀이터,35.15952566,129.06727661,2024-10-28,,21,부산광역시,부산BIS
BSB164350401,전포초등학교,35.16110858,129.06410928,2024-10-28,,21,부산광역시,부산BIS
BSB164360101,부전시장,35.16222366,129.05820763,2024-10-28,5297.0,21,부산광역시,부산BIS
BSB164360102,동해선부전역,35.16344296,129.06112459,2024-10-28,5284.0,21,부산광역시,부산BIS
BSB164360201,부전시장입구,35.15942737,129.05758513,2024-10-28,5188.0,21,부산광역시,부산BIS
BSB164360202,국민은행,35.15927102,129.05770252,2024-10-28,,21,부산광역시,부산BIS
BSB164360203,부전시장,35.16056828,129.05664645,2024-10-28,,21,부산광역시,부산BIS
BSB164360401,부전시장,35.16169657,129.05614157,2024-10-28,,21,부산광역시,부산BIS
BSB164370101,부산시민공원,35.16415874,129.06240586,2024-10-28,,21,부산광역시,부산BIS
BSB164370201,부전역,35.16236539,129.06183347,2024-10-28,5010.0,21,부산광역시,부산BIS
BSB164380101,부산은행,35.16392788,129.06359215,2024-10-28,,21,부산광역시,부산BIS
BSB164380301,새마을금고,35.16475298,129.06256902,2024-10-28,,21,부산광역시,부산BIS
BSB164390201,양정대원칸타빌,35.17144606,129.06717516,2024-10-28,5026.0,21,부산광역시,부산BIS
BSB164390202,대원칸타빌아파트,35.17168525,129.06718625,2024-10-28,,21,부산광역시,부산BIS
BSB164390401,현대아파트209동,35.17213766,129.06566871,2024-10-28,,21,부산광역시,부산BIS
BSB164390402,현대아파트213동,35.17212979,129.06665828,2024-10-28,,21,부산광역시,부산BIS
BSB164400201,(구)대우자동차,35.15814676,129.06805394,2024-10-28,5339.0,21,부산광역시,부산BIS
BSB164400301,전포동어린이놀이터,35.15956833,129.067345,2024-10-28,,21,부산광역시,부산BIS
