도서관,시도,시군구,주소,이름,연간 이용자 수,위도,경도
1,부산광역시,금정구,부산광역시 금정구 서부로76번길 5 (서동) (부산광역시시립서동도서관),부산광역시립서동도서관,"112,667",35.219628961,129.099326831
2,부산광역시,동구,부산광역시 동구 홍곡로 53 (수정동) (부산광역시립중앙도서관 수정분관),부산광역시립중앙도서관수정분관,"150,606",35.124795631,129.040489010
3,부산광역시,동래구,부산광역시 동래구 명안로46번길 35 (명장동) 명안로46번길 35,부산광역시립명장도서관,"155,228",35.200850708,129.106543827
4,부산광역시,부산진구,부산광역시 부산진구 동천로 79 (부전동) 부산광역시립부전도서관,부산광역시립부전도서관,0,35.155902588,129.061952938
5,부산광역시,부산진구,부산광역시 부산진구 월드컵대로 462 (초읍동) (초읍동) 부산광역시립시민도서관,부산광역시립시민도서관,"698,983",35.182806221,129.050141697
6,부산광역시,부산진구,부산광역시 부산진구 가야대로 734 (부전동) 부산글로벌빌리지 행정동 5층 ,부산영어도서관,"89,758",35.156745057,129.052320235
7,부산광역시,북구,부산광역시 북구 백양대로1016번다길 43 (구포동) ,부산광역시립구포도서관,"421,775",35.193980485,128.996008066
8,부산광역시,사하구,부산광역시 사하구 승학로 247 (괴정동) 부산광역시립사하도서관,부산광역시립사하도서관,"173,542",35.102892506,128.990917498
9,부산광역시,서구,부산광역시 서구 대신공원로 41 (서대신동3가) 부산광역시립구덕도서관,부산광역시립구덕도서관,"169,530",35.121686384,129.016901269
10,부산광역시,연제구,부산광역시 연제구 고분로191번길 16 (연산동) 부산광역시립연산도서관,부산광역시립연산도서관,"270,740",35.185949894,129.104003484
11,부산광역시,중구,부산광역시 중구 망양로193번길 146 (보수동1가) 부산광역시립중앙도서관,부산광역시립중앙도서관,"356,965",35.110029527,129.026960500
12,부산광역시,해운대구,부산광역시 해운대구 아랫반송로 22 (반송동) 부산광역시립반송도서관,부산광역시립반송도서관,"119,316",35.225060770,129.148324718
13,부산광역시,해운대구,부산광역시 해운대구 양운로 183 (좌동) (해운대도서관),부산광역시립해운대도서관,"760,157",35.177940195,129.168916639
14,부산광역시,해운대구,부산광역시 해운대구 우동1로 89 (우동) 해운대도서관 우동분관,해운대도서관 우동분관,"101,642",35.179417583928696,129.15993463577655
15,부산광역시,동래구,부산광역시 동래구 중앙대로 1276 (사직동) 꿈키어린이도서관,꿈키어린이도서관,"3,384",35.200404671,129.078409570
16,부산광역시,북구,부산광역시 북구 양달로 64 (화명동) 대천천환경문화센터 3층 맨발동무도서관,맨발동무도서관,"19,708",35.243744704,129.020329332
17,부산광역시,해운대구,부산광역시 해운대구 윗반송로 57 (반송동) 느티나무도서관,느티나무도서관,"2,200",35.229922488,129.155649308
18,부산광역시,강서구,부산광역시 강서구 명지오션시티10로 80 (명지동) 강서기적의도서관,강서기적의도서관,"218,585",35.086177215,128.904767676
19,부산광역시,강서구,부산광역시 강서구 공항로811번길 10 (대저2동) 강서도서관,부산강서도서관,"89,508",35.180196450,128.957409772
20,부산광역시,강서구,부산광역시 강서구 과학산단2로20번길 5 (지사동) 지사문화회관 2~층 지사도서관,지사도서관,"37,837",35.150922890,128.831296607
21,부산광역시,금정구,부산광역시 금정구 기찰로 94 (부곡동) 금샘도서관,금샘도서관,"342,292",35.239005371,129.093930263
22,부산광역시,금정구,부산광역시 금정구 금정도서관로 33 (청룡동) 금정도서관,금정도서관,"421,063",35.272718107,129.096198188
23,부산광역시,기장군,부산광역시 기장군 철마면 고촌로 51 고촌어울림도서관,고촌어울림도서관,"26,972",35.238729629,129.168697769
24,부산광역시,기장군,"부산광역시 기장군 기장읍 차성로417번길 11  기장빛물꿈교육행복타운 2F, 3F",교리도서관,"79,130",35.255222266,129.215526819
25,부산광역시,기장군,부산광역시 기장군 기장읍 차성동로126번길 13-5  기장도서관,기장도서관,"156,759",35.249684877,129.217304190
26,부산광역시,기장군,부산광역시 기장군 기장읍 기장대로 51 내리새라도서관,내리새라도서관,"68,426",35.201849145,129.206183726
27,부산광역시,기장군,부산광역시 기장군 기장읍 차성서로 86 대라다목적도서관,대라다목적도서관,"47,490",35.240800936,129.210591801
28,부산광역시,기장군,부산광역시 기장군 정관읍 정관중앙로 100 정관도서관,정관도서관,"432,086",35.325184674,129.181485266
29,부산광역시,기장군,부산광역시 기장군 정관읍 정관8로 11 정관어린이도서관,정관어린이도서관,"63,931",35.323886789,129.177621431
30,부산광역시,남구,부산광역시 남구 수영로267번길 61 (대연동) ,남구도서관,"395,619",35.137696705,129.094567839
31,부산광역시,남구,"부산광역시 남구 분포로 97 (용호동) 분포문화체육센터내 1,2층 분포도서관",부산광역시 남구 분포도서관,"205,607",35.132055131,129.115220001
32,부산광역시,동구,부산광역시 동구 성북로36번길 54 (범일동) 성북로36번길 54,동구도서관,"126,003",35.138055126,129.052423401
33,부산광역시,동구,부산광역시 동구 수성로 21 (수정동) 동구어린이영어도서관,동구어린이영어도서관,"65,701",35.134603542,129.042006031
34,부산광역시,동래구,부산광역시 동래구 동래로159번길 153 (칠산동) 동래읍성도서관,동래읍성도서관,"109,408",35.207086294,129.094803518
35,부산광역시,동래구,부산광역시 동래구 명안로10번길 64 (안락동) 안락누리도서관,안락누리도서관,"101,437",35.196984621,129.107707568
36,부산광역시,부산진구,부산광역시 부산진구 백양순환로110번길 25 (부암동) 부산진구어린이청소년도서관,부산진구어린이청소년도서관,"94,691",35.169014991,129.039643250
37,부산광역시,북구,부산광역시 북구 효열로203번길 34 (금곡동) 금곡도서관,금곡도서관,"129,385",35.263233906,129.016718682
38,부산광역시,북구,부산광역시 북구 은행나무로 26 (만덕동) (만덕2동 843번지),만덕도서관,"191,225",35.207241325,129.037798094
39,부산광역시,북구,부산광역시 북구 화명대로12번길 59 (화명동) 화명도서관,화명도서관,"480,480",35.232197400,129.009391167
40,부산광역시,사상구,부산광역시 사상구 사상로310번길 33 (덕포동) 부산도서관,부산도서관,"605,546",35.172718668,128.985289007
41,부산광역시,사상구,부산광역시 사상구 덕상로72번길 9 (덕포동) ,사상도서관,"116,044",35.178113166,128.989813250
42,부산광역시,사하구,부산광역시 사하구 다대낙조2길 9 (다대동) 다대도서관,다대도서관,"182,750",35.050427010,128.964700408
43,부산광역시,수영구,부산광역시 수영구 연수로315번길 23 (망미동) 망미1동 주민센터(4~6층),망미도서관,"135,269",35.173420966,129.104837168
44,부산광역시,수영구,부산광역시 수영구 남천서로 33 (남천동) 수영구도서관,수영구도서관,"248,564",35.144303755,129.105234720
