"시점","행정구역(시군구)별","연령별",총인구수 (명)
"2025.05","중구","계",37080
"2025.05","중구","0세",42
"2025.05","중구","1세",50
"2025.05","중구","2세",49
"2025.05","중구","3세",47
"2025.05","중구","4세",52
"2025.05","중구","5세",61
"2025.05","중구","6세",63
"2025.05","중구","7세",89
"2025.05","중구","8세",107
"2025.05","중구","9세",107
"2025.05","중구","10세",142
"2025.05","중구","11세",137
"2025.05","중구","12세",132
"2025.05","서구","계",102681
"2025.05","서구","0세",310
"2025.05","서구","1세",299
"2025.05","서구","2세",333
"2025.05","서구","3세",376
"2025.05","서구","4세",370
"2025.05","서구","5세",414
"2025.05","서구","6세",487
"2025.05","서구","7세",479
"2025.05","서구","8세",600
"2025.05","서구","9세",633
"2025.05","서구","10세",677
"2025.05","서구","11세",669
"2025.05","서구","12세",665
"2025.05","동구","계",84897
"2025.05","동구","0세",369
"2025.05","동구","1세",314
"2025.05","동구","2세",357
"2025.05","동구","3세",365
"2025.05","동구","4세",340
"2025.05","동구","5세",323
"2025.05","동구","6세",343
"2025.05","동구","7세",354
"2025.05","동구","8세",430
"2025.05","동구","9세",438
"2025.05","동구","10세",439
"2025.05","동구","11세",422
"2025.05","동구","12세",417
"2025.05","영도구","계",102719
"2025.05","영도구","0세",304
"2025.05","영도구","1세",315
"2025.05","영도구","2세",282
"2025.05","영도구","3세",327
"2025.05","영도구","4세",290
"2025.05","영도구","5세",358
"2025.05","영도구","6세",405
"2025.05","영도구","7세",449
"2025.05","영도구","8세",479
"2025.05","영도구","9세",559
"2025.05","영도구","10세",554
"2025.05","영도구","11세",577
"2025.05","영도구","12세",630
"2025.05","부산진구","계",364540
"2025.05","부산진구","0세",1691
"2025.05","부산진구","1세",1647
"2025.05","부산진구","2세",1692
"2025.05","부산진구","3세",1771
"2025.05","부산진구","4세",1674
"2025.05","부산진구","5세",1790
"2025.05","부산진구","6세",1801
"2025.05","부산진구","7세",2064
"2025.05","부산진구","8세",2176
"2025.05","부산진구","9세",2456
"2025.05","부산진구","10세",2420
"2025.05","부산진구","11세",2274
"2025.05","부산진구","12세",2433
"2025.05","동래구","계",274663
"2025.05","동래구","0세",1203
"2025.05","동래구","1세",1211
"2025.05","동래구","2세",1381
"2025.05","동래구","3세",1539
"2025.05","동래구","4세",1535
"2025.05","동래구","5세",1748
"2025.05","동래구","6세",1990
"2025.05","동래구","7세",2087
"2025.05","동래구","8세",2380
"2025.05","동래구","9세",2664
"2025.05","동래구","10세",2785
"2025.05","동래구","11세",2650
"2025.05","동래구","12세",2820
"2025.05","남구","계",252829
"2025.05","남구","0세",944
"2025.05","남구","1세",851
"2025.05","남구","2세",918
"2025.05","남구","3세",1030
"2025.05","남구","4세",1075
"2025.05","남구","5세",1230
"2025.05","남구","6세",1368
"2025.05","남구","7세",1609
"2025.05","남구","8세",1780
"2025.05","남구","9세",2086
"2025.05","남구","10세",2118
"2025.05","남구","11세",2106
"2025.05","남구","12세",2194
"2025.05","북구","계",265237
"2025.05","북구","0세",1168
"2025.05","북구","1세",1080
"2025.05","북구","2세",1170
"2025.05","북구","3세",1205
"2025.05","북구","4세",1186
"2025.05","북구","5세",1294
"2025.05","북구","6세",1400
"2025.05","북구","7세",1654
"2025.05","북구","8세",1801
"2025.05","북구","9세",2013
"2025.05","북구","10세",2011
"2025.05","북구","11세",1995
"2025.05","북구","12세",2034
"2025.05","해운대구","계",374321
"2025.05","해운대구","0세",1440
"2025.05","해운대구","1세",1408
"2025.05","해운대구","2세",1548
"2025.05","해운대구","3세",1697
"2025.05","해운대구","4세",1798
"2025.05","해운대구","5세",2001
"2025.05","해운대구","6세",2352
"2025.05","해운대구","7세",2540
"2025.05","해운대구","8세",2884
"2025.05","해운대구","9세",3360
"2025.05","해운대구","10세",3444
"2025.05","해운대구","11세",3349
"2025.05","해운대구","12세",3726
"2025.05","사하구","계",290088
"2025.05","사하구","0세",987
"2025.05","사하구","1세",981
"2025.05","사하구","2세",1025
"2025.05","사하구","3세",1073
"2025.05","사하구","4세",1187
"2025.05","사하구","5세",1219
"2025.05","사하구","6세",1395
"2025.05","사하구","7세",1646
"2025.05","사하구","8세",1810
"2025.05","사하구","9세",2100
"2025.05","사하구","10세",2098
"2025.05","사하구","11세",2117
"2025.05","사하구","12세",2342
"2025.05","금정구","계",208475
"2025.05","금정구","0세",544
"2025.05","금정구","1세",566
"2025.05","금정구","2세",633
"2025.05","금정구","3세",650
"2025.05","금정구","4세",740
"2025.05","금정구","5세",799
"2025.05","금정구","6세",876
"2025.05","금정구","7세",1077
"2025.05","금정구","8세",1186
"2025.05","금정구","9세",1335
"2025.05","금정구","10세",1442
"2025.05","금정구","11세",1411
"2025.05","금정구","12세",1480
"2025.05","강서구","계",143827
"2025.05","강서구","0세",1028
"2025.05","강서구","1세",1031
"2025.05","강서구","2세",1258
"2025.05","강서구","3세",1377
"2025.05","강서구","4세",1361
"2025.05","강서구","5세",1533
"2025.05","강서구","6세",1749
"2025.05","강서구","7세",1983
"2025.05","강서구","8세",2111
"2025.05","강서구","9세",2317
"2025.05","강서구","10세",2279
"2025.05","강서구","11세",2163
"2025.05","강서구","12세",2054
"2025.05","연제구","계",210866
"2025.05","연제구","0세",1073
"2025.05","연제구","1세",898
"2025.05","연제구","2세",960
"2025.05","연제구","3세",1073
"2025.05","연제구","4세",1176
"2025.05","연제구","5세",1240
"2025.05","연제구","6세",1353
"2025.05","연제구","7세",1425
"2025.05","연제구","8세",1589
"2025.05","연제구","9세",1806
"2025.05","연제구","10세",1751
"2025.05","연제구","11세",1693
"2025.05","연제구","12세",1766
"2025.05","수영구","계",170426
"2025.05","수영구","0세",589
"2025.05","수영구","1세",611
"2025.05","수영구","2세",648
"2025.05","수영구","3세",680
"2025.05","수영구","4세",715
"2025.05","수영구","5세",762
"2025.05","수영구","6세",805
"2025.05","수영구","7세",896
"2025.05","수영구","8세",982
"2025.05","수영구","9세",1125
"2025.05","수영구","10세",1145
"2025.05","수영구","11세",1071
"2025.05","수영구","12세",1196
"2025.05","사상구","계",196869
"2025.05","사상구","0세",663
"2025.05","사상구","1세",628
"2025.05","사상구","2세",631
"2025.05","사상구","3세",664
"2025.05","사상구","4세",684
"2025.05","사상구","5세",792
"2025.05","사상구","6세",806
"2025.05","사상구","7세",1005
"2025.05","사상구","8세",1010
"2025.05","사상구","9세",1237
"2025.05","사상구","10세",1198
"2025.05","사상구","11세",1232
"2025.05","사상구","12세",1385
"2025.05","기장군","계",174939
"2025.05","기장군","0세",860
"2025.05","기장군","1세",866
"2025.05","기장군","2세",932
"2025.05","기장군","3세",1111
"2025.05","기장군","4세",1159
"2025.05","기장군","5세",1261
"2025.05","기장군","6세",1473
"2025.05","기장군","7세",1574
"2025.05","기장군","8세",1933
"2025.05","기장군","9세",2089
"2025.05","기장군","10세",2182
"2025.05","기장군","11세",2064
"2025.05","기장군","12세",2306
